#{"t_start": 1619374959.5355217, "env_id": null}
r,l,t
0.0,1409,2739.21984
0.0,1409,2751.036738
0.0,1409,2762.924473
0.0,1409,2774.753284
0.0,1409,2787.886486
0.0,1409,2803.026316
0.0,1409,2815.083017
0.0,1409,2827.295825
0.0,1409,2840.789736
0.0,1409,2852.520205
0.0,1409,2863.555033
0.0,1409,2875.675334
0.0,1409,2886.201365
0.0,1409,2897.268216
0.0,1409,2908.092919
0.0,1409,2918.8258
0.0,1409,2929.415179
0.0,1409,2940.401813
0.0,1409,2951.4558
0.0,1409,2961.962265
0.0,1409,2973.167258
0.0,1409,2984.070385
0.0,1409,2994.766959
0.0,1409,3006.738666
0.0,1409,3017.627685
0.0,1409,3028.561007
0.0,1409,3039.615506
0.0,1409,3050.722172
0.0,1409,3061.351054
0.0,1409,3072.001172
0.0,1409,3083.001436
0.0,1409,3093.921198
0.0,1409,3104.706569
0.0,1409,3115.216842
0.0,1409,3126.133617
0.0,1409,3310.02201
0.0,1409,3320.793652
0.0,1409,3331.767666
0.0,1409,3341.022446
0.0,1409,3352.153574
0.0,1409,3362.932775
0.0,1409,3374.293398
0.0,1409,3385.678848
0.0,1409,3396.403494
0.0,1409,3408.104689
0.0,1409,3419.494918
0.0,1409,3430.701424
0.0,1409,3442.676193
0.0,1409,3455.062352
0.0,1409,3467.278793
0.0,1409,3479.284894
0.0,1409,3491.254346
0.0,1409,3504.19133
0.0,1409,3516.455639
0.0,1409,3528.673256
0.0,1409,3540.777328
0.0,1409,3552.798749
0.0,1409,3564.528054
0.0,1409,3576.852946
0.0,1409,3588.872505
0.0,1409,3600.577296
0.0,1409,3612.702122
0.0,1409,3624.266188
0.0,1409,3636.616369
0.0,1409,3648.216995
0.0,1409,3659.798132
0.0,1409,3671.506653
0.0,1409,3683.231778
0.0,1409,3695.723163
0.0,1409,3707.420761
0.0,1409,3719.074172
0.0,1409,3899.794007
0.0,1409,3910.324117
0.0,1409,3921.003855
0.0,1409,3931.937425
0.0,1409,3944.390641
0.0,1409,3955.134289
0.0,1409,3965.726988
0.0,1409,3976.538224
0.0,1409,3987.09269
0.0,1409,3997.660175
0.0,1409,4008.252342
0.0,1409,4018.642564
0.0,1409,4033.336913
0.0,1409,4044.888106
0.0,1409,4056.562982
0.0,1409,4068.513039
0.0,1409,4080.628325
0.0,1409,4092.775574
0.0,1409,4104.285623
0.0,1409,4115.781294
0.0,1409,4127.779771
0.0,1409,4139.713199
0.0,1409,4151.587359
0.0,1409,4163.494785
0.0,1409,4175.289964
0.0,1409,4187.349334
0.0,1409,4199.029487
0.0,1409,4210.754665
0.0,1409,4222.412078
0.0,1409,4234.948576
0.0,1409,4247.336081
0.0,1409,4259.063207
0.0,1409,4270.970596
0.0,1409,4282.595546
0.0,1409,4295.493827
0.0,1409,4484.602054
0.0,1409,4495.533085
0.0,1409,4506.769518
0.0,1409,4519.287781
0.0,1409,4531.193896
0.0,1409,4542.92096
0.0,1409,4554.016793
0.0,1409,4565.809005
0.0,1409,4577.307747
0.0,1409,4588.178905
0.0,1409,4599.069441
0.0,1409,4609.923392
0.0,1409,4621.114916
0.0,1409,4632.473213
0.0,1409,4644.120317
0.0,1409,4655.870943
0.0,1409,4667.515314
0.0,1409,4679.202814
0.0,1409,4691.497679
0.0,1409,4703.053261
0.0,1409,4715.419349
0.0,1409,4727.400446
0.0,1409,4739.203036
0.0,1409,4752.320272
0.0,1409,4763.914948
0.0,1409,4776.347888
0.0,1409,4787.863415
0.0,1409,4801.235163
0.0,1409,4813.852164
0.0,1409,4825.842056
0.0,1409,4837.626445
0.0,1409,4849.179606
0.0,1409,4860.791514
0.0,1409,4872.341117
0.0,1409,4884.208543
0.0,1409,4896.03038
0.0,1409,5071.885485
0.0,1409,5082.961294
0.0,1409,5093.871374
0.0,1409,5104.852246
0.0,1409,5115.917616
0.0,1409,5126.841823
0.0,1409,5137.539097
0.0,1409,5148.181192
0.0,1409,5159.182377
0.0,1409,5169.828982
0.0,1409,5180.706573
0.0,1409,5191.31459
0.0,1409,5201.974133
0.0,1409,5212.728717
0.0,1409,5223.407906
0.0,1409,5234.416422
0.0,1409,5245.366786
0.0,1409,5257.087573
0.0,1409,5267.702819
0.0,1409,5278.435108
0.0,1409,5289.031074
0.0,1409,5299.593139
0.0,1409,5311.438675
0.0,1409,5322.478979
0.0,1409,5333.195644
0.0,1409,5344.197702
0.0,1409,5355.604695
0.0,1409,5366.212645
0.0,1409,5377.535456
0.0,1409,5388.550789
0.0,1409,5399.929282
0.0,1409,5410.386074
0.0,1409,5421.103468
0.0,1409,5431.816652
0.0,1409,5442.695587
